강릉, ,20 이상, , ,12.6,-11.1,12.6, , ,18,남,,1013.1
강진군, ,20 이상, , ,6.3,4.1,6.3, , ,86,남동,,1015.7
강화, ,3.8, , ,5.6,4.7,5.6, , ,94,동남동,,1014.1
거제, ,6.3, , ,10.3,3.0,10.3, , ,61,남남동,,1018.1
거창, ,14.8, , ,2.0,-7.6,2.0, , ,49,남남동,,1017.9
경주시, ,17.5, , ,5.1,-5.3,5.1, , ,47,남남서,,1017.4
고산, ,12.4, , ,10.6,6.9,8.6, , ,78,남동,,1017.7
고창, ,20 이상, , ,9.7,0.8,7.6, , ,54,남동,,1016.1
고창군, ,14.6, , ,10.3,1.1,8.4, , ,53,동남동,,1016.0
고흥, ,3.2, , ,6.8,6.6,6.8, , ,99,정온,,1017.4
광양시, ,8.5, , ,7.8,2.6,7.8, , ,70,동남동,,1017.8
광주,박무,4.2,9,9,9.5,5.2,9.5, , ,75,정온,,1016.7
구미, ,18.0, , ,4.4,-7.1,4.4, , ,43,정온,,1017.5
군산, ,5.2, , ,9.4,3.3,7.5, , ,66,동남동,,1016.1
금산, ,7.1, , ,4.2,-2.6,4.2, , ,61,북북서,,1016.3
김해시, ,11.7, , ,6.8,-1.3,6.8, , ,56,정온,,1017.9
남원, ,8.1, , ,3.1,-3.0,3.1, , ,64,서남서,,1018.2
남해, ,3.9, , ,6.6,4.0,6.6, , ,84,북동,,1017.7
대관령, ,20 이상, , ,3.5,-12.9,-0.3, , ,29,북서,,1016.3
대구,흐림,11.3,9,0,5.6,-4.0,5.6, , ,50,남동,,1017.3
대전,연무,8.3,9,0,6.9,-3.3,6.9, , ,48,남동,,1016.2
동두천, ,20 이상, , ,7.5,-2.0,5.1, , ,51,남,,1014.3
동해, ,20 이상, , ,11.6,-7.2,11.6, , ,26,동,,1013.5
목포,흐림,10.8,9,0,9.0,4.7,7.1, , ,75,남동,,1016.3
문경, ,13.1, , ,3.9,-4.5,3.9, , ,54,동남동,,1017.0
밀양, ,20 이상, , ,5.3,-5.4,5.3, , ,46,북,,1017.3
백령도,안개 변화없음,0.4,10,10,5.9,5.5,1.8, , ,97,남동,,1008.9
보령, ,8.9, , ,10.7,-0.1,8.7, , ,47,남,,1013.9
보성군, ,4.6, , ,6.8,4.7,6.8, , ,87,정온,,1017.4
보은, ,7.3, , ,2.0,-3.4,2.0, , ,67,서남서,,1016.8
봉화, ,19.2, , ,4.1,-8.6,4.1, , ,39,남,,1016.8
부산,구름많음,12.7,8,0,9.7,0.0,7.9, , ,51,서남서,,1016.8
부안, ,5.8, , ,9.4,4.7,8.1, , ,73,남동,,1015.4
부여, ,4.8, , ,5.4,0.1,5.4, , ,69,정온,,1015.7
북강릉,구름많음,19.7,8,0,12.2,-14.5,12.0, , ,14,남,,1012.2
북창원, ,13.6, , ,7.7,0.1,7.7, , ,59,북북서,,1017.2
북춘천,맑음,20 이상,2,0,1.2,-5.9,1.2, , ,59,동남동,,1016.6
산청, ,12.6, , ,2.0,-5.6,2.0, , ,57,정온,,1018.8
상주, ,16.2, , ,3.0,-4.9,3.0, , ,56,동,,1017.1
서귀포,연무,7.2,10,10,11.3,5.5,11.3, , ,68,정온,,1018.5
서산, ,20 이상, , ,9.9,4.6,7.5, , ,70,남남동,,1013.8
서울,흐림,14.3,9,9,6.2,-1.7,4.3, , ,57,동북동,,1014.2
성산, ,17.6, , ,10.9,4.3,10.2, , ,64,남서,,1018.1
세종, ,19.6, , ,5.5,-4.3,5.5, , ,49,동북동,,1015.7
속초, ,20 이상, , ,12.8,-15.0,12.8, , ,13,남남동,,1012.0
수원,연무,5.8,8,8,7.6,0.9,5.7, , ,63,남동,,1014.9
순창군, ,20 이상, , ,4.9,-0.7,4.9, , ,67,동,,1017.6
순천, ,2.3, , ,5.0,2.3,5.0, , ,83,동남동,,1016.7
안동,구름많음,17.6,7,0,3.4,-6.8,3.4, , ,47,남남동,,1018.3
양산시, ,20 이상, , ,7.5,-1.2,5.9, , ,54,남서,,1017.2
양평, ,14.6, , ,4.5,-5.3,3.1, , ,49,남남동,,1017.2
여수,박무,3.2,9,0,7.4,4.1,7.4, , ,80,정온,,1017.6
영광군, ,19.6, , ,10.0,2.1,8.9, , ,58,남,,1016.2
영덕, ,19.0, , ,12.3,-6.6,12.3, , ,26,서,,1015.9
영월, ,19.0, , ,3.0,-8.3,3.0, , ,43,북,,1017.6
영주, ,17.9, , ,3.6,-9.0,3.6, , ,39,남동,,1016.9
영천, ,9.6, , ,3.7,-3.3,3.7, , ,60,정온,,1018.4
완도, ,2.2, , ,7.2,6.2,7.2, , ,94,정온,,1017.2
울릉도,구름조금,20 이상,5,0,11.0,3.2,10.2, , ,59,남남서,,1014.5
울산,구름많음,20 이상,8,0,8.9,-5.3,8.2, , ,36,북,,1016.4
울진, ,20 이상, , ,12.0,-7.9,11.8, , ,24,남남동,,1014.9
원주, ,16.0, , ,3.9,-6.9,3.9, , ,45,북동,,1016.2
의령군, ,7.5, , ,4.2,-2.6,4.2, , ,61,동남동,,1017.9
의성, ,19.9, , ,3.6,-6.1,3.6, , ,49,정온,,1016.8
이천, ,10.7, , ,3.9,-3.6,3.9, , ,58,동,,1016.7
인제, ,15.4, , ,2.0,-7.0,2.0, , ,51,남동,,1016.1
