강릉, ,20 이상, , ,14.7,-9.4,14.4, , ,18,남서,2.5,1011.4
강진군, ,20 이상, , ,9.5,4.6,9.5, , ,72,서,0.5,1014.8
강화, ,6.4, , ,7.9,5.6,5.9, , ,86,남남서,3.2,1012.9
거제, ,8.2, , ,11.5,1.9,11.5, , ,52,서,1.1,1017.2
거창, ,17.1, , ,5.1,-7.4,5.1, , ,40,정온,0.4,1015.9
경주시, ,16.6, , ,9.1,-4.8,9.1, , ,37,정온,0.4,1015.8
고산, ,17.5, , ,12.0,7.0,9.1, , ,72,남동,8.9,1016.2
고창, ,20 이상, , ,12.0,-0.5,9.9, , ,42,남동,5.4,1015.3
고창군, ,16.9, , ,12.8,0.1,11.5, , ,42,동남동,3.9,1015.2
고흥, ,5.3, , ,9.3,6.1,9.3, , ,81,정온,0.3,1016.3
광양시, ,10.9, , ,10.4,2.9,10.4, , ,60,남,0.9,1016.9
광주,연무,7.9,7,0,11.9,1.2,11.4, , ,48,남남서,2,1015.9
구미, ,17.6, , ,7.6,-5.1,7.6, , ,40,정온,0.1,1015.9
군산, ,7.7, , ,11.5,2.2,9.8, , ,53,남동,4.2,1015.0
금산, ,5.2, , ,10.6,1.4,10.6, , ,53,남,1,1014.2
김해시, ,11.8, , ,9.9,-0.6,9.9, , ,48,남남동,0.9,1017.0
남원, ,7.7, , ,5.9,-1.7,5.9, , ,58,서남서,1.3,1016.9
남해, ,4.6, , ,8.6,4.4,8.6, , ,75,정온,0.2,1016.8
대관령, ,20 이상, , ,7.5,-12.8,3.9, , ,22,서,6.3,1012.7
대구,구름많음,14.4,8,0,7.8,-4.3,7.8, , ,42,동북동,1.3,1015.8
대전,연무,7.0,4,0,10.5,-1.8,9.8, , ,42,남동,2,1014.7
동두천, ,18.3, , ,9.4,0.0,7.0, , ,52,남남동,4.6,1012.8
동해, ,20 이상, , ,16.2,-12.3,16.0, , ,13,서,2.8,1011.8
목포,구름많음,15.1,7,0,11.4,5.2,9.8, , ,66,남,3.9,1015.6
문경, ,15.5, , ,7.2,-5.5,6.1, , ,40,동남동,1.8,1015.1
밀양, ,20 이상, , ,8.0,-5.4,8.0, , ,38,남남동,0.9,1016.2
백령도,안개 끝,5.2,10,10,7.7,7.2,3.6, , ,97,남남동,8.2,1007.6
보령, ,10.0, , ,13.0,-1.0,11.1, , ,38,남남서,5.8,1013.0
보성군, ,5.9, , ,9.4,5.3,9.4, , ,76,남동,0.8,1016.5
보은, ,8.6, , ,6.3,-2.0,6.3, , ,55,정온,0.3,1014.9
봉화, ,18.3, , ,9.3,-8.3,9.3, , ,28,남동,1.3,1014.3
부산,연무,7.3,8,0,10.9,2.1,9.0, , ,55,남서,4.2,1016.1
부안, ,10.5, , ,12.4,1.9,11.3, , ,49,남,3.1,1014.3
부여, ,4.7, , ,8.6,1.4,8.6, , ,61,남서,0.7,1014.4
북강릉,구름많음,20 이상,7,0,14.4,-11.9,13.8, , ,15,남남서,3,1010.5
북창원, ,10.1, , ,10.9,1.4,10.9, , ,52,북북동,0.8,1016.4
북춘천,맑음,20 이상,2,0,6.4,-5.2,6.4, , ,43,동북동,0.5,1014.4
산청, ,14.6, , ,6.0,-4.7,6.0, , ,46,정온,0.4,1017.1
상주, ,20 이상, , ,6.1,-6.1,6.1, , ,41,북동,1.2,1015.5
서귀포,연무,7.2,10,10,11.9,6.5,11.9, , ,70,북북서,0.7,1017.8
